公司名稱,公司代碼,市場類別,產業類別,職稱,姓名,所代表法人姓名
春源,2010,上市,鋼鐵工業,董事之法人代表人,蔡錫奇,常昀(股)公司
春源,2010,上市,鋼鐵工業,董事本人,鄭毅明,無
春源,2010,上市,鋼鐵工業,董事長本人,李文隆,無
春源,2010,上市,鋼鐵工業,獨立董事本人,林維樑,無
春源,2010,上市,鋼鐵工業,獨立董事本人,許立銘,無
春源,2010,上市,鋼鐵工業,董事本人,蔡政廷,無
春源,2010,上市,鋼鐵工業,董事本人,李文發,無
春源,2010,上市,鋼鐵工業,監察人之法人代表人,吳雲敏,安廷投資(股)公司
春源,2010,上市,鋼鐵工業,董事本人,吳美鶯,無
華榮,1608,上市,電器電纜,董事之法人代表人,王玉發,美達股份有限公司
華榮,1608,上市,電器電纜,董事長之法人代表人,王宏銘,美達股份有限公司
華榮,1608,上市,電器電纜,董事之法人代表人,劉宗仁,第一銅
華榮,1608,上市,電器電纜,董事之法人代表人,林明祥,第一銅
華榮,1608,上市,電器電纜,獨立董事本人,吳統雄,無
華榮,1608,上市,電器電纜,獨立董事本人,張進德,無
華榮,1608,上市,電器電纜,獨立董事本人,郭秋木,無
春雨,2012,上市,鋼鐵工業,董事本人,李世和,無
春雨,2012,上市,鋼鐵工業,董事之法人代表人,王炯棻,台灣鋼鐵股份有限公司
春雨,2012,上市,鋼鐵工業,獨立董事本人,陳振榮,無
春雨,2012,上市,鋼鐵工業,獨立董事本人,林文淵,無
春雨,2012,上市,鋼鐵工業,董事本人,李明晃,無
春雨,2012,上市,鋼鐵工業,董事之法人代表人,翁重鈞,台灣鋼鐵股份有限公司
春雨,2012,上市,鋼鐵工業,董事之法人代表人,孫得賓,百佳圓建設股份有限公司
春雨,2012,上市,鋼鐵工業,董事之法人代表人,陳其泰,百佳圓建設股份有限公司
春雨,2012,上市,鋼鐵工業,獨立董事本人,李雅榮,無
春雨,2012,上市,鋼鐵工業,董事長之法人代表人,林輝政,台灣鋼鐵股份有限公司
聲寶,1604,上市,電器電纜,獨立董事本人,黃秋永,無
聲寶,1604,上市,電器電纜,獨立董事本人,樓永堅,無
聲寶,1604,上市,電器電纜,獨立董事本人,江誠榮,無
聲寶,1604,上市,電器電纜,董事本人,陳盛泉,無
聲寶,1604,上市,電器電纜,董事之法人代表人,陳連春,財團法人陳張秀菊文教基金會
聲寶,1604,上市,電器電纜,董事長之法人代表人,陳盛沺,財團法人陳茂榜工商發展基金會
聲寶,1604,上市,電器電纜,董事本人,陳盛偉,無
第一銅,2009,上市,鋼鐵工業,董事長之法人代表人,王宏銘,華榮
第一銅,2009,上市,鋼鐵工業,獨立董事本人,鄭崑發,無
第一銅,2009,上市,鋼鐵工業,董事之法人代表人,三橋章,三菱伸銅株式會社
第一銅,2009,上市,鋼鐵工業,董事之法人代表人,劉宗仁,華榮
第一銅,2009,上市,鋼鐵工業,董事之法人代表人,林明祥,華榮
第一銅,2009,上市,鋼鐵工業,獨立董事本人,胡立仁,無
第一銅,2009,上市,鋼鐵工業,獨立董事本人,黃振聰,無
亞太電,3682,上市,通信網路業,獨立董事本人,楊熙年,無
亞太電,3682,上市,通信網路業,獨立董事本人,陳逸文,無
亞太電,3682,上市,通信網路業,董事之法人代表人,林明祥,華榮
亞太電,3682,上市,通信網路業,董事之法人代表人,曾忠正,裕晟投資股份有限公司
亞太電,3682,上市,通信網路業,董事之法人代表人,曹棟鈞,交通部臺灣鐵路管理局
亞太電,3682,上市,通信網路業,獨立董事本人,鄭丁旺,無
亞太電,3682,上市,通信網路業,董事之法人代表人,張嘉祥,寶鑫國際投資股份有限公司
亞太電,3682,上市,通信網路業,董事之法人代表人,范瑞穎,寶鑫國際投資股份有限公司
亞太電,3682,上市,通信網路業,董事之法人代表人,陳永正,寶鑫國際投資股份有限公司
亞太電,3682,上市,通信網路業,董事長之法人代表人,呂芳銘,寶鑫國際投資股份有限公司
亞太電,3682,上市,通信網路業,董事之法人代表人,徐仁財,交通部臺灣鐵路管理局
展旺,4167,上櫃,生技醫療業,董事之法人代表人,鍾正賢,CH & SB HOLDING LTD
展旺,4167,上櫃,生技醫療業,獨立董事本人,陸大榮,無
展旺,4167,上櫃,生技醫療業,獨立董事本人,林宜男,無
展旺,4167,上櫃,生技醫療業,獨立董事本人,張日炎,無
展旺,4167,上櫃,生技醫療業,董事之法人代表人,林明祥,華榮
展旺,4167,上櫃,生技醫療業,董事之法人代表人,鄭慶興,佳駒投資有限公司
展旺,4167,上櫃,生技醫療業,董事之法人代表人,李正,啟航貳創業投資股份有限公司
展旺,4167,上櫃,生技醫療業,董事之法人代表人,黃璟琛,啟航貳創業投資股份有限公司
展旺,4167,上櫃,生技醫療業,董事之法人代表人,洪辰叡,CH & SB HOLDING LTD
展旺,4167,上櫃,生技醫療業,董事長之法人代表人,李香雲,漢友財務管理顧問股份有限公司
展旺,4167,上櫃,生技醫療業,董事之法人代表人,潘世賢,佳駒投資有限公司
展旺,4167,上櫃,生技醫療業,董事之法人代表人,吳賢明,華榮
展旺,4167,上櫃,生技醫療業,董事之法人代表人,陳正,CH & SB HOLDING LTD
展旺,4167,上櫃,生技醫療業,董事長之法人代表人,顧曼芹,漢友財務管理顧問股份有限公司
華廣,4737,上市,生技醫療業,董事長本人,黃椿木,無
華廣,4737,上市,生技醫療業,監察人本人,戴宗凱,無
華廣,4737,上市,生技醫療業,董事本人,江台雄,無
華廣,4737,上市,生技醫療業,監察人本人,蘇錦彬,無
華廣,4737,上市,生技醫療業,監察人本人,林建興,無
華廣,4737,上市,生技醫療業,獨立董事本人,蔡淦仁,無
華廣,4737,上市,生技醫療業,獨立董事本人,郭莉真,無
華廣,4737,上市,生技醫療業,董事之法人代表人,李聰,通化東寶藥業股份有限公司
華廣,4737,上市,生技醫療業,獨立董事本人,呂學裕,無
華廣,4737,上市,生技醫療業,董事之法人代表人,林明祥,華榮
合晶,6182,上櫃,半導體業,董事之法人代表人,吳南陽,楓丹白露股份有限公司
合晶,6182,上櫃,半導體業,獨立董事本人,林鳳儀,無
合晶,6182,上櫃,半導體業,獨立董事本人,蔡永松,無
合晶,6182,上櫃,半導體業,董事本人,劉鎮圖,無
合晶,6182,上櫃,半導體業,董事之法人代表人,王泰元,英屬維京群島商高科控股有限公司
合晶,6182,上櫃,半導體業,董事之法人代表人,林明祥,華榮
合晶,6182,上櫃,半導體業,董事本人,邰中和,無
合晶,6182,上櫃,半導體業,獨立董事本人,武東星,無
合晶,6182,上櫃,半導體業,董事長本人,焦平海,無
